episode,flip_time_sec,retrain_started
1,11.071791938,0
2,7.451692214,0
3,5.490982123,0
4,7.778821777,0
5,9.928065819,0
6,8.533099807000001,0
7,11.115902617000001,0
8,5.899873985,0
9,3.900769615,1
10,9.933683178,0
11,5.751373144,0
12,8.613088867,0
13,5.404047069000001,0
14,6.106344359,0
15,2.400271998,0
16,5.324939995,0
17,20.134350401000003,0
18,12.72657582,0
19,6.560948118000001,1
20,2.96834998,0
21,2.711453981,0
22,3.93078215,0
23,2.830758603,0
24,4.3667021980000005,0
25,8.711320859,0
26,3.8625172630000004,0
27,3.8926299770000004,0
28,5.1996976010000004,0
29,3.8905025830000004,1
30,9.99526091,0
31,10.910302283,0
32,7.906387852000001,0
33,6.9203939320000005,0
34,3.8455768910000003,0
35,12.006932820000001,0
36,11.036205838,0
37,13.337333215000001,0
38,15.613598702,0
39,9.433814988,1
40,17.079361713,0
41,2.397660489,0
42,5.260302844,0
43,15.648440962,0
44,4.073668055000001,0
45,2.964350162,0
46,8.908560403000001,0
47,4.51806319,0
48,8.282247189000001,0
49,6.919807243,1
50,7.133065084,0
