episode,flip_time_sec,retrain_started
2,52.254738458000006,0
3,60.02299175500001,0
4,40.873294173000005,0
5,51.556362447000005,0
6,60.028862757000006,0
7,14.674196208000001,0
8,25.172604664,0
9,52.755603525000005,1
10,3.9470573680000003,0
11,21.745696155,0
12,5.703233293,0
13,8.278200155,0
14,3.3651588610000003,0
15,6.630553750000001,0
16,5.843399253,0
17,35.002055003,0
18,14.425555520000001,0
19,21.30346652,1
20,9.70676446,0
21,16.755495587000002,0
22,10.447444979,0
23,11.75182002,0
24,60.070524157,0
25,30.570487271,0
26,3.352278467,0
27,4.364070389,0
28,18.045837243,0
29,13.938105221,1
30,7.649128456000001,0
31,6.176407345,0
32,7.3888448140000005,0
33,4.506056706,0
34,2.9255508040000002,0
35,60.179591338,0
36,4.0506672880000005,0
37,19.191973855,0
38,5.028839677000001,0
39,4.6395083040000005,1
40,39.533916302,0
41,6.389546977,0
42,15.280368161,0
43,16.926271102,0
44,9.535588086,0
45,11.441099311,0
46,3.045270529,0
47,44.196703795000005,0
48,6.233098422,0
49,7.425616899,1
50,12.77863761,0
51,4.894696813,0
52,7.100631242,0
53,4.63414452,0
54,43.730950979,0
55,2.280859141,0
56,11.876319729,0
57,3.438175354,0
58,29.29228846,0
59,9.771988015,1
60,18.901366483,0
61,11.482685078000001,0
62,2.9112523980000002,0
63,7.841977805000001,0
64,24.731222172000003,0
65,3.7320269300000004,0
66,11.502457184,0
67,15.385341594000002,0
68,7.356085017000001,0
69,5.34380828,1
70,11.374678873,0
71,7.188155072000001,0
72,5.457471942000001,0
73,7.081966052,0
74,7.262156796,0
75,5.225318817000001,0
76,5.810316060000001,0
77,12.368300222,0
78,3.6413624930000004,0
79,15.024843155000001,1
80,10.840580069000001,0
81,3.1492262770000004,0
82,2.9416829620000002,0
83,7.831633964000001,0
84,6.250749994,0
85,7.581053705,0
86,60.187595076,0
87,23.409507620000003,0
88,6.832124435000001,0
89,10.962192314000001,1
90,7.900273542000001,0
91,5.627795247000001,0
92,6.678527801,0
93,4.521619660000001,0
94,7.052496344000001,0
95,4.124326577000001,0
96,32.5638911,0
97,6.0386716730000005,0
98,2.3224544920000003,0
99,11.813462442,1
100,6.684061047,0
