episode,flip_time_sec,retrain_started
0,13.536762469000001,0
1,4.099672686,0
2,14.002882549,0
3,19.467741930000003,0
4,24.502284522,0
5,11.565576510000001,0
6,12.028285908,0
7,27.309533258000002,0
8,10.58616258,0
9,14.040843168,1
10,3.505133879,0
11,13.886676637,0
12,17.713702256,0
13,3.0908457260000004,0
14,22.408773150000002,0
15,5.314638512,0
16,8.733188707,0
17,15.571425409000001,0
18,9.051812103000001,0
19,6.543702623000001,1
20,5.301789827,0
21,9.534081527000001,0
22,3.279004612,0
23,2.624407193,0
24,10.972305006000001,0
25,1.780490005,0
26,18.338818110000002,0
27,10.647768478000001,0
28,6.628556028,0
29,22.42246494,1
30,3.4963328770000004,0
31,9.383449174,0
32,20.273263119000003,0
33,4.9466831430000004,0
34,10.347839132,0
35,18.744946334,0
36,38.573545948,0
37,17.386257826,0
38,9.114421682,0
39,8.652408336,1
40,5.319494355000001,0
41,10.256914554000002,0
42,2.405948382,0
43,2.430044031,0
44,4.863109803,0
45,4.932827344000001,0
46,4.029863794000001,0
47,18.64796759,0
48,2.3982649040000004,0
49,5.511800669,1
50,10.97880072,0
51,29.888226255000003,0
52,15.434701604,0
53,6.083360452,0
54,10.556243242,0
55,2.872010651,0
56,7.0274027740000005,0
57,3.573044834,0
58,24.944318479000003,0
59,8.667710326,1
60,7.517282367000001,0
61,5.672893332,0
62,4.667841663,0
63,3.351047267,0
64,10.526743358000001,0
65,6.244722751,0
66,3.7331204430000002,0
67,13.415372138,0
68,7.715961072000001,0
69,5.317754511,1
70,5.278121111,0
71,5.501933017000001,0
72,9.055892159,0
73,5.212874417,0
74,15.784762858,0
75,4.398625323,0
76,20.329138997,0
77,19.311067406000003,0
78,18.151017015,0
79,27.785470671000002,1
80,2.998709142,0
81,4.407627088,0
82,2.364291225,0
83,3.7665840370000003,0
84,4.778134052,0
85,2.8891512290000003,0
86,3.949898718,0
87,6.402576655000001,0
88,2.2521217190000002,0
89,8.011059596,1
90,5.0904974780000005,0
91,8.87255524,0
92,12.143773628,0
93,5.370972991,0
94,26.697358817,0
95,8.701014992000001,0
96,9.839445161,0
97,12.176447132000002,0
98,8.050439839000001,0
99,3.632797182,1
100,8.394865594,0
101,3.366280998,0
102,4.752370894,0
103,5.429803293,0
104,2.4954821280000004,0
105,12.712497153000001,0
106,5.694923362,0
107,5.027479212,0
108,4.172833611000001,0
109,7.5021060660000005,1
110,9.650400167,0
111,10.722026832000001,0
112,9.974188069,0
113,8.158672313,0
114,8.858264503000001,0
115,9.252256808,0
116,10.64894175,0
117,5.825010659,0
118,10.315554773,0
119,27.058922123000002,1
120,4.020979281000001,0
121,8.164144604,0
122,3.589724496,0
123,4.063057416,0
124,12.283783121,0
125,3.067719535,0
126,6.14776329,0
127,6.9441025970000005,0
128,3.007675388,0
129,6.715222570000001,1
130,8.989989612,0
131,5.782631309,0
132,11.118536863000001,0
133,8.13511452,0
134,5.465507447,0
135,7.82959995,0
136,4.51240095,0
137,5.263081661,0
138,9.245825022,0
139,8.669829140000001,1
140,8.898142365,0
141,26.869749787,0
142,9.515004198,0
143,6.2069208510000005,0
144,8.597304784,0
145,11.093819216,0
146,29.204304428,0
147,5.029021854000001,0
148,8.879099369,0
149,20.899533186000003,1
150,3.223888425,0
151,14.104988633000001,0
152,21.852351889,0
153,4.261057524,0
154,5.3038817400000005,0
155,9.938034186000001,0
156,6.641987544,0
157,3.7224726340000003,0
158,3.0408166060000004,0
159,13.547345733,1
160,20.070899758,0
161,5.942482405000001,0
162,9.874412705000001,0
163,9.587437142,0
164,4.334061286,0
165,4.8173180360000005,0
166,3.418813279,0
167,10.070952994,0
168,5.9658088540000005,0
169,10.927498153,1
170,4.435905949,0
171,27.411464114,0
172,5.749207286000001,0
173,2.8160408570000004,0
174,4.942998893,0
175,35.929785094,0
176,6.706129482000001,0
177,8.664540226,0
178,7.069190526000001,0
179,7.508713780000001,1
180,5.518848468000001,0
181,17.72133101,0
182,16.147218932,0
183,9.392127844000001,0
184,14.604180286,0
185,4.608692769,0
186,8.685226795,0
187,3.4855264630000002,0
188,6.614764217,0
189,3.613333136,1
190,6.946666096,0
191,8.905515534000001,0
192,8.599608360000001,0
193,4.286911292,0
194,4.902665053000001,0
195,31.445627616000003,0
196,11.814670465,0
197,11.325041327000001,0
198,24.679960231000003,0
199,3.558088777,1
200,8.328141003,0
201,2.886842616,0
202,9.959710165,0
203,2.27551365,0
204,2.251244847,0
205,2.6659689070000003,0
206,3.417667353,0
207,3.516309054,0
208,12.383301656,0
209,3.9499291850000002,1
210,2.3462707700000003,0
211,2.290816462,0
212,2.4865262820000003,0
213,3.6174193920000004,0
214,8.006993719,0
215,7.738843941000001,0
216,13.55014015,0
217,13.602993523,0
218,12.55122916,0
219,9.154638317,1
220,5.504228361,0
221,21.382312467000002,0
222,10.758642548000001,0
223,4.211843251,0
224,6.675529663000001,0
225,6.6682196540000005,0
226,6.060648733000001,0
227,13.990667809000001,0
228,4.863031223,0
229,6.740493392,1
230,4.9222897770000005,0
231,9.347100151000001,0
232,9.227657097,0
233,11.860434319000001,0
234,3.0613947290000003,0
235,2.863948584,0
236,8.305978300000001,0
237,4.246921209,0
238,9.249181545,0
239,8.820388673,1
240,11.776375291,0
241,2.468092748,0
242,5.933616752000001,0
243,2.498704462,0
244,14.860011452,0
245,11.131185824000001,0
246,3.9994632140000004,0
247,7.958794075,0
248,7.440942560000001,0
249,3.7463335520000003,1
250,3.028746776,0
251,18.207749672000002,0
252,8.686334829,0
253,4.5693281290000005,0
254,5.872969138,0
255,7.020094737000001,0
256,32.154471377,0
257,2.9678806790000003,0
258,6.172000522,0
259,4.92090915,1
260,5.725742843,0
261,17.302041014,0
262,12.640000659,0
263,7.491822183,0
264,3.869773647,0
265,11.474110235000001,0
266,3.7124767440000004,0
267,17.234325618,0
268,7.341919841,0
269,5.726034172,1
270,14.342645438000002,0
271,4.5433364780000005,0
272,20.720719667,0
273,12.856862602000001,0
274,20.647048857,0
275,17.519624608,0
276,4.284360301,0
277,5.123933651000001,0
278,6.92198515,0
279,5.725681836000001,1
280,3.166821687,0
281,32.399755282,0
282,3.2888008920000003,0
283,4.654226749,0
284,7.877256037,0
285,9.157718769,0
286,6.9371249850000005,0
287,3.8959386620000003,0
288,6.433421271,0
289,4.698920955,1
290,7.255102961,0
291,2.1533544090000003,0
292,5.1441697060000005,0
293,2.785807025,0
294,5.218109025,0
295,17.068182027000002,0
296,60.17799101600001,0
297,18.218863388000003,0
298,7.55919935,0
299,4.455836007,1
300,13.646404935000001,0
301,10.475846859,0
302,13.730600362,0
303,19.678611153000002,0
304,5.706227126,0
305,55.829409183,0
306,20.134544141000003,0
307,11.840784885000001,0
308,31.756449701,0
309,4.0946182140000005,1
310,4.003643968,0
311,3.287150753,0
312,8.455723065,0
313,2.630205468,0
314,6.932151855000001,0
315,2.885917769,0
316,5.911631243,0
317,3.8716664960000005,0
318,44.836180403,0
319,14.540058744000001,1
320,2.472981098,0
321,13.396348052,0
322,2.365654386,0
323,3.447332738,0
324,2.601034669,0
325,11.872662912000001,0
326,10.995674535000001,0
327,12.130511016000002,0
328,4.565469473,0
329,8.853243599,1
330,7.877489532,0
331,4.567919171000001,0
332,6.474471094,0
333,10.738529864,0
334,9.152950667,0
335,4.238525989,0
336,17.012216685000002,0
337,8.622233875000001,0
338,11.053915146000001,0
339,7.428664073,1
340,9.648895821,0
341,7.348149123000001,0
342,19.523704627,0
343,15.586031936000001,0
344,15.174267876000002,0
345,3.182817001,0
346,5.761228385000001,0
347,4.178216428000001,0
348,10.978728106,0
349,2.298852965,1
350,9.196054994,0
351,7.15947433,0
352,5.659833989,0
353,4.514295886,0
354,3.1717973070000003,0
355,9.927893524,0
356,3.2173019800000002,0
357,6.893099479000001,0
358,17.095056799,0
359,5.006308789,1
360,8.834541467000001,0
361,6.4932911230000006,0
362,4.348001431,0
363,5.978597327,0
364,3.6192718630000003,0
365,6.910296108000001,0
366,3.263254792,0
367,2.0765310610000003,0
368,11.03283348,0
369,3.9753228290000004,1
370,3.007066436,0
371,3.330628996,0
372,8.237263782000001,0
373,5.3528642710000005,0
374,4.469117719000001,0
375,9.229295198,0
376,4.095550525,0
377,4.544368406,0
378,7.577182019,0
379,5.146141899000001,1
380,15.890939268,0
381,5.948972352,0
382,9.746551708,0
383,22.091500968000002,0
384,4.318550143,0
385,14.677246066,0
386,10.638850068,0
387,13.714797800000001,0
388,5.810351429000001,0
389,4.337085487,1
390,8.11950408,0
391,2.775883216,0
392,3.4407146600000003,0
393,3.2928446,0
394,10.365179919000001,0
395,5.227953567,0
396,6.845549941000001,0
397,5.459578846,0
398,2.70173231,0
399,3.467772076,1
400,23.923430793,0
401,12.219087122000001,0
402,18.913150435000002,0
403,13.712120006000001,0
404,6.848651028000001,0
405,22.000480802000002,0
406,4.369079212,0
407,18.335798345,0
408,2.4931580600000003,0
409,5.345063132,1
410,4.873665262,0
411,8.88059381,0
412,10.144014544000001,0
413,4.598978296,0
414,2.6936793970000004,0
415,3.9561932790000003,0
416,1.903001637,0
417,10.714716623000001,0
418,6.457076675000001,0
419,7.451501962,1
420,21.063607704000002,0
421,10.246847469,0
422,6.259635832000001,0
423,2.4272479660000004,0
424,13.443894513,0
425,16.107971628,0
426,9.613222086,0
427,5.8018118990000005,0
428,8.339138028,0
429,20.968634258,1
430,14.150800605,0
431,2.19965533,0
432,8.308721561,0
433,5.360647151,0
434,12.132384647,0
435,4.533702164,0
436,21.075675933000003,0
437,9.312931728,0
438,19.713787022,0
439,3.027715783,1
440,32.125502295000004,0
441,13.134535499,0
442,10.345726551,0
443,2.841603198,0
444,32.940003291000004,0
445,4.981291189,0
446,7.803253250000001,0
447,4.0565193520000005,0
448,15.408769326000002,0
449,5.632306868000001,1
450,14.302213445000001,0
451,9.833432461000001,0
452,7.304894473,0
453,16.187453847,0
454,6.993964949,0
455,4.23981343,0
456,10.339940065,0
457,1.9685351750000002,0
458,17.811289934,0
459,7.764450905,1
460,8.043978077,0
461,4.314384787,0
462,4.501507879,0
463,11.317955903000001,0
464,14.926437467000001,0
465,8.169519908,0
466,2.292811585,0
467,8.831912948000001,0
468,5.6512830880000005,0
469,2.730532252,1
470,13.821531694,0
471,3.899175177,0
472,13.543841445,0
473,2.7858206840000004,0
474,3.7652576960000004,0
475,2.788008977,0
476,4.9885161810000005,0
477,8.586745682,0
478,3.3178525220000004,0
479,5.657761182000001,1
480,3.1483122330000004,0
481,8.474681275,0
482,47.802227431000006,0
483,2.696070074,0
484,3.765516368,0
485,8.73715147,0
486,3.458324712,0
487,10.999806041000001,0
488,2.7608932690000003,0
489,2.76260839,1
490,8.012393393,0
491,7.295788735,0
492,6.726869841,0
493,4.164256048,0
494,25.560832457,0
495,8.007136142,0
496,5.300687862,0
497,5.677266176000001,0
498,4.531148889000001,0
499,3.565527394,1
500,2.79929052,0
501,3.096125835,0
502,8.460433907,0
503,4.439745197000001,0
504,3.9200207920000003,0
505,9.117104555000001,0
506,7.609409788000001,0
507,9.172792983,0
508,3.03124679,0
509,6.718525551000001,1
510,8.588059829,0
511,4.7385178560000005,0
512,2.6326932370000002,0
513,4.010588011,0
514,5.338576938,0
515,2.873081828,0
516,3.24681474,0
