v_dot_hat,omega_dot_hat,v_dot_measured,omega_dot_measured
-0.338073,0.064603,-0.175116,0.000333
-3.735911,0.071083,-5.241114,0.084228
-3.113345,0.062399,-4.338116,-0.096127
-2.545079,0.064639,-3.508300,-0.001686
-2.061328,0.066414,-2.789239,0.001881
-1.684994,0.067458,-2.222610,0.002596
-1.434840,0.067882,-1.841089,0.003142
-1.325263,0.067821,-1.665747,0.003490
-1.364607,0.067415,-1.704725,0.003614
-1.554161,0.066798,-1.952725,0.003506
-1.888701,0.066081,-2.391340,0.003173
-2.358195,0.065344,-2.990210,0.002636
-2.949423,0.064632,-3.708931,0.001928
-3.645641,0.063964,-4.499590,0.001097
-4.423171,0.063996,-5.310851,0.005188
-5.245493,0.064524,-6.088155,0.007710
-6.171506,0.052507,-7.232128,-0.082863
-6.174321,0.041111,-4.606537,-0.078396
-6.061755,0.057792,-4.775294,0.113394
-5.849573,0.071908,-4.865270,0.097361
-5.547950,0.041956,-4.864477,-0.198134
-5.162888,0.065668,-4.773740,0.152003
-4.707842,0.036799,-4.594210,-0.195291
-4.192951,0.187063,-4.344429,0.978868
-3.722714,0.077858,-4.344429,0.978868
-3.157342,0.203416,-3.651555,0.815256
-2.825395,0.213390,-4.237089,0.092279
-2.396977,0.219520,-3.280529,0.092187
-1.928223,0.212372,-2.463142,0.013539
-1.481487,0.203015,-1.753602,0.002623
-1.107597,0.193480,-1.196241,0.002633
-0.844706,0.184173,-0.823896,0.003152
-0.717991,0.175377,-0.657644,0.003496
-0.739835,0.167316,-0.705631,0.003617
-0.910608,0.160138,-0.962559,0.003509
-1.220028,0.153907,-1.410024,0.003178
-1.649038,0.148598,-2.017668,0.002644
-2.172028,0.144111,-2.745088,0.001938
-2.759115,0.140290,-3.544373,0.001108
-3.378170,0.136953,-4.363115,0.000209
-3.996394,0.134319,-5.148699,0.002345
-4.581125,0.132593,-5.849561,0.007311
-5.100057,0.129439,-6.416341,-0.004086
-5.607188,0.124668,-7.546606,-0.015977
-5.594203,0.124986,-4.439906,0.022007
-6.219603,0.120725,-10.743975,-0.011545
-5.884535,0.130765,-4.344914,0.093412
-6.104950,0.106522,-9.383926,-0.156282
-5.759115,0.104374,-5.822484,0.000509
