v_dot_hat,omega_dot_hat,v_dot_measured,omega_dot_measured
2.887971,0.004233,2.985918,-0.144101
2.877419,0.021620,2.967192,0.138782
2.867954,0.007603,2.941656,0.009642
2.859604,0.007051,2.915429,0.000403
0.009553,0.005630,-0.078055,0.044189
0.008488,0.000346,-0.079433,-0.042036
0.007470,0.004655,-0.078970,-0.002951
0.006495,0.004881,-0.078281,-0.000129
-3.112959,0.002924,-3.332137,0.048367
-3.106698,-0.003514,-3.304634,-0.046047
-3.098569,0.000654,-3.275391,-0.003186
-3.088738,0.000358,-3.246145,-0.000129
-0.529302,0.001625,-0.560501,-0.039513
-0.527085,0.005968,-0.553623,0.037598
-0.524809,0.001903,-0.548442,0.002640
-0.522472,0.001509,-0.543524,0.000117
5.337834,0.004610,5.567526,-0.101612
5.316948,0.017905,5.522826,0.098768
5.300206,0.008470,5.473898,0.006381
5.287908,0.008641,5.425022,0.000148
5.280305,0.009412,5.376567,-0.000035
5.925374,0.010007,6.001844,-0.021540
5.927120,0.013566,5.949302,0.020493
5.929958,0.012091,5.896093,0.001351
5.928628,0.012513,5.843427,0.000004
5.917929,0.012984,5.791238,-0.000035
-2.536645,0.013319,-2.977993,0.141719
-2.591612,-0.006976,-2.958162,-0.136515
-2.617846,0.006509,-2.932285,-0.009464
-2.627971,0.006824,-2.906134,-0.000392
-2.628329,0.006232,-2.880168,-0.000003
0.490970,0.006779,0.379261,-0.048142
0.484052,0.012646,0.378152,0.045806
0.477290,0.007744,0.375059,0.003215
0.470679,0.007311,0.371727,0.000139
0.464213,0.007204,0.368406,0.000003
-3.178282,0.005945,-3.412141,0.056152
-3.161828,-0.001704,-3.384275,-0.053459
-3.142716,0.003335,-3.354372,-0.003699
-3.121984,0.003175,-3.324426,-0.000151
-3.100332,0.002661,-3.294721,0.000004
0.888930,0.004212,0.856451,-0.061364
0.882087,0.011419,0.851707,0.058386
0.875249,0.005317,0.844458,0.004096
0.868429,0.004943,0.836936,0.000177
0.861625,0.004980,0.829459,0.000003
-2.878768,0.003319,-3.057009,0.057707
-2.857770,-0.004001,-3.032394,-0.054933
-2.836650,0.001345,-3.005639,-0.003811
-2.815615,0.001308,-2.978809,-0.000157
-2.794789,0.000893,-2.952192,0.000003
-1.991493,0.000906,-2.113242,-0.012058
-1.976836,0.001976,-2.093789,0.011489
-1.962373,0.000462,-2.075005,0.000808
-1.948092,0.000083,-2.056458,0.000041
-1.933983,-0.000209,-2.038081,0.000007
5.350026,0.002755,5.523758,-0.122811
5.311618,0.018142,5.480426,0.119072
5.272960,0.006238,5.431975,0.007682
5.234273,0.006089,5.383477,0.000184
5.195881,0.006708,5.335392,-0.000036
-4.523207,0.004023,-4.744454,0.153676
-4.490175,-0.015418,-4.709423,-0.148027
-4.456939,-0.000387,-4.668156,-0.010122
-4.424022,0.000011,-4.626513,-0.000412
-4.391653,-0.000611,-4.585176,0.000000
1.429140,0.001709,1.447498,-0.089161
1.418366,0.011975,1.438797,0.084834
1.407618,0.003097,1.426466,0.005946
1.396922,0.002649,1.413753,0.000255
1.386285,0.002806,1.401121,0.000004
-6.507256,0.002722,-6.763114,0.230380
-6.461632,-0.026806,-6.711110,-0.215383
-6.416829,-0.004688,-6.655889,-0.015421
-6.372318,-0.004045,-6.594489,-0.004012
-6.327747,-0.004553,-6.535646,-0.000204
4.687008,-0.001910,4.845249,-0.190346
4.652887,0.021407,4.812684,0.183033
4.619035,0.002312,4.770915,0.012480
4.585379,0.001700,4.728355,0.000500
4.551823,0.002375,4.686105,0.000001
3.850306,0.002860,3.955139,0.010161
3.821628,0.002266,3.919318,-0.009698
3.793032,0.003901,3.884244,-0.000681
3.764560,0.004541,3.849533,-0.000040
3.736279,0.005095,3.815134,-0.000012
-4.326799,0.003541,-4.505886,0.123230
-4.294691,-0.012051,-4.471366,-0.117395
-4.262767,-0.000020,-4.432125,-0.008068
-4.231218,0.000143,-4.392579,-0.000332
-4.200087,-0.000523,-4.353331,0.000002
5.186425,0.001299,5.324242,-0.151285
5.148105,0.020285,5.284010,0.146347
5.109789,0.005119,5.237517,0.009426
5.071633,0.004877,5.190766,0.000234
5.033837,0.005615,5.144400,-0.000036
-7.016296,0.007732,-6.840442,0.290294
-6.961396,-0.028745,-6.790672,-0.173548
-6.908323,-0.011453,-6.799780,-0.050444
-6.858664,0.001326,-6.921961,0.494742
-6.803934,-0.067916,-6.665512,-0.646466
-2.699740,0.007541,-4.272348,-0.071420
-2.668950,0.015985,-2.745925,0.138168
-2.649204,-0.000778,-2.716909,0.013731
-2.629463,-0.002911,-2.692509,0.000746
-2.609691,-0.003506,-2.668443,0.000036
-5.322743,-0.004011,-5.455396,0.048036
-5.282542,-0.011254,-5.409282,-0.047473
-5.241871,-0.006655,-5.361253,-0.003074
-5.200913,-0.007228,-5.313383,-0.000060
-5.160164,-0.008113,-5.265924,0.000033
-0.704677,-0.009052,-0.679479,-0.069204
-0.698874,-0.000119,-0.669918,0.067418
-0.693129,-0.008054,-0.663531,0.004742
-0.687424,-0.008624,-0.657574,0.000210
-0.681756,-0.008656,-0.651696,0.000008
4.415927,-0.009020,4.588711,-0.077724
4.382390,0.002207,4.551376,0.074032
4.347670,-0.005559,4.511150,0.005086
4.312169,-0.005254,4.470869,0.000207
4.277046,-0.004400,4.430919,-0.000006
-4.086704,-0.003908,-4.167158,0.127320
-4.053823,-0.020885,-4.135939,-0.121266
-4.020705,-0.007261,-4.099710,-0.008361
-3.987578,-0.006935,-4.063125,-0.000346
-3.955239,-0.007529,-4.026820,0.000001
-6.556211,-0.007038,-6.690342,0.067207
-6.507021,-0.017320,-6.634534,-0.065662
-6.459838,-0.010538,-6.575501,-0.004383
-6.414274,-0.010871,-6.516793,-0.000094
-6.369949,-0.011632,-6.458600,0.000039
-1.126657,-0.014547,-1.069547,-0.100070
-1.117217,-0.000342,-1.054624,0.096695
-1.107921,-0.011562,-1.044843,0.006886
-1.098741,-0.012230,-1.035484,0.000309
-1.089673,-0.012121,-1.026230,0.000012
-4.119299,-0.010845,-4.134340,0.046220
-4.090852,-0.017725,-4.099600,-0.044013
-4.062805,-0.012782,-4.063213,-0.003023
-4.035127,-0.012602,-4.026916,-0.000119
-4.007760,-0.012724,-3.990932,0.000007
-5.570222,-0.011595,-5.585024,0.033059
-5.534393,-0.016883,-5.536795,-0.033148
-5.498837,-0.013191,-5.487331,-0.002130
-5.463084,-0.013066,-5.438312,-0.000025
-5.426524,-0.013137,-5.389736,0.000034
1.845017,-0.018635,2.065196,-0.114620
1.849295,0.000155,2.052202,0.110651
1.848164,-0.012029,2.034407,0.007730
1.843337,-0.012254,2.016273,0.000328
1.835921,-0.011668,1.998258,0.000004
-2.330375,-0.009117,-2.280584,0.063451
-2.309622,-0.018227,-2.263249,-0.060389
-2.288709,-0.011012,-2.243390,-0.004211
-2.267640,-0.010393,-2.223363,-0.000177
-2.246427,-0.010247,-2.203496,0.000001
3.287387,-0.013195,3.464017,-0.084054
3.265852,-0.000087,3.436998,0.080020
3.241891,-0.008909,3.406797,0.005551
3.216453,-0.009020,3.376400,0.000231
3.190182,-0.008542,3.346232,-0.000002
-3.810792,-0.005664,-3.831974,0.106352
-3.776623,-0.020597,-3.802868,-0.101281
-3.742570,-0.008709,-3.769485,-0.006997
-3.708731,-0.007959,-3.735827,-0.000290
-3.675189,-0.007990,-3.702444,0.000002
7.292639,-0.046367,6.935299,-0.974284
7.205911,0.106487,6.619545,0.687268
7.130447,0.051459,6.508154,1.144355
7.073906,-0.131980,6.901207,-0.594949
7.015425,-0.052596,6.862164,-0.398821
-1.477254,0.017991,1.418187,0.361185
-1.487597,-0.039858,-1.468401,-0.204424
-1.476349,-0.008489,-1.463651,-0.018679
-1.465152,-0.005653,-1.450737,-0.000916
-1.454066,-0.005551,-1.437779,-0.000026
-5.262294,-0.002343,-5.352437,0.063927
-5.224351,-0.013579,-5.307749,-0.062758
-5.187173,-0.004272,-5.260531,-0.003990
-5.150916,-0.003980,-5.213545,-0.000075
2.591571,-0.010981,2.754897,-0.119494
2.575527,0.009835,2.735951,0.115309
2.558608,-0.007550,2.712141,0.008031
2.541125,-0.008438,2.687959,0.000339
6.902775,-0.017382,6.772197,-0.281518
6.848384,0.029353,6.703417,0.121892
6.793133,0.020345,6.621588,0.469086
6.741939,-0.052716,6.735535,-0.043582
-0.444504,-0.045101,0.884894,-0.145783
-0.451062,-0.022879,-0.439010,-0.112199
