time,x,z,x_dot,z_dot,raw_pitch_rad,raw_pitch_deg,raw_pitch_dot,pitch_rad,pitch_deg,pitch_dot,pitch_ref_rad,pitch_ref_deg,tau_cmd,ctrl_cmd,solve_success,omega_dot_raw,omega_dot_filtered,omega_dot_rls,rls_error,rls_skipped,a_g,a_tau,a_omega,a_v,a_0,a_g_nom,a_tau_nom
0.001,6.29408512223034e-06,0.1512017634101115,0.01150736132325489,0.0027864525240911954,-1.6837196001307014e-05,-0.000964700269709438,-0.027828964800945665,1.6837196001307014e-05,0.000964700269709438,0.027828964800945665,1.3962634015954636,80.0,-7.999999953983784,7.999999953983784,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.002,2.1930984796539362e-05,0.1512048530201838,0.01976614057268021,0.0034043891695180544,-4.963807087302616e-05,-0.0028440519641956606,-0.037683429644075395,4.963807087302616e-05,0.0028440519641956606,0.037683429644075395,1.3962634015954636,80.0,-7.999999953983784,7.999999953983784,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.003,4.582575989414228e-05,0.15120859426761832,0.02802310386213412,0.004088613349227909,-9.2033735386662e-05,-0.005273144610479548,-0.04702658478096086,9.2033735386662e-05,0.005273144610479548,0.04702658478096086,1.3962634015954636,80.0,-7.999999953983784,7.999999953983784,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.004,7.797657514177012e-05,0.15121305019499534,0.036278217555700466,0.0048327280636630485,-0.00014353632367846217,-0.008224025553599586,-0.05590466540830368,0.00014353632367846217,0.008224025553599586,0.05590466540830368,1.3962634015954636,80.0,-7.999999953983784,7.999999953983784,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.005,0.00011838157549839628,0.15121827771922616,0.04453147474415159,0.005630871840938482,-0.00020370229749578126,-0.011671281923626585,-0.06436013982978933,0.00020370229749578126,0.011671281923626585,0.06436013982978933,1.3962634015954636,80.0,-7.999999953983784,7.999999953983784,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.006,0.00016703891002497665,0.15122432814612569,0.052782889690003984,0.006477677263043208,-0.0002721288214509229,-0.015591832953007027,-0.07243199108831072,0.0002721288214509229,0.015591832953007027,0.07243199108831072,1.3962634015954636,80.0,-7.999999953983784,7.999999953983784,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.007,0.00022394675065206588,0.15123124764482107,0.06103249315585287,0.007368232110746732,-0.00034845041184062425,-0.019964737968063136,-0.08015598240095795,0.00034845041184062425,0.019964737968063136,0.08015598240095795,1.3962634015954636,80.0,-7.999999953983784,7.999999953983784,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.008,0.0002891033066645976,0.15123907768460637,0.06928032849089905,0.008298043104279177,-0.00043233584270292426,-0.02477101911910939,-0.08756490619125987,0.00043233584270292426,0.02477101911910939,0.08756490619125987,1.3962634015954636,80.0,-7.999999953983784,7.999999953983784,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.009000000000000001,0.0003625068356063627,0.15124785543681282,0.07752644836691465,0.009263002181532292,-0.0005234852927346068,-0.02999349791086339,-0.09468881681518058,0.0005234852927346068,0.02999349791086339,0.09468881681518058,1.3962634015954636,80.0,-7.999999953983784,7.999999953983784,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.010000000000000002,0.00044415565120532925,0.1512576141441916,0.08577091206931199,0.01025935522868584,-0.0006216277169117677,-0.0356166446073974,-0.10155524731272884,0.0006216277169117677,0.0356166446073974,0.10155524731272884,1.3962634015954636,80.0,-7.999999953983784,7.999999953983784,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.011000000000000003,0.0005340481288330866,0.15126838346021015,0.09401378326165713,0.011283673158591944,-0.0007265184270812971,-0.04162643961024137,-0.10818941069498708,0.0007265184270812971,0.04162643961024137,0.10818941069498708,1.3962634015954636,80.0,-7.999999953983784,7.999999953983784,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.012000000000000004,0.0006321827089357187,0.15128018976055244,0.10225512815308155,0.012332825218791787,-0.0008379368663692797,-0.04801024594137737,-0.11461438640576747,0.0008379368663692797,0.04801024594137737,0.11461438640576747,1.3962634015954636,80.0,-7.999999953983784,7.999999953983784,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.013000000000000005,0.0007385578988078303,0.151293056428989,0.11049501400775606,0.013403954402626265,-0.0009556845629390933,-0.05475669200221474,-0.1208512926861406,0.0009556845629390933,0.05475669200221474,0.1208512926861406,1.3962634015954636,80.0,-7.999999953983784,7.999999953983784,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.014000000000000005,0.0008531722730249434,0.15130700411965564,0.11873350794405543,0.014494454832581456,-0.0010795832493907022,-0.061855563823106634,-0.1269194456260704,0.0010795832493907022,0.061855563823106634,0.1269194456260704,1.3962634015954636,80.0,-7.999999953983784,7.999999953983784,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.015000000000000006,0.0009760244728008785,0.15132205099764637,0.12697067597840347,0.015601950983943604,-0.0012094731348935468,-0.06929770606385713,-0.1328365057167742,0.0012094731348935468,0.06929770606385713,0.1328365057167742,1.3962634015954636,80.0,-7.999999953983784,7.999999953983784,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.016000000000000007,0.0011071132044949922,0.15133821295969574,0.13520658227517723,0.01672427861830519,-0.0013452113179647709,-0.07707493107261239,-0.13861861272577075,0.0013452113179647709,0.07707493107261239,0.13861861272577075,1.3962634015954636,80.0,-7.999999953983784,7.999999953983784,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.017000000000000008,0.00124643723745836,0.15135550383659654,0.1434412885695829,0.01785946729985256,-0.001486670328623695,-0.08517993535746486,-0.14428050970862535,0.001486670328623695,0.08517993535746486,0.14428050970862535,1.3962634015954636,80.0,-7.999999953983784,7.999999953983784,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.01800000000000001,0.0013939954013773518,0.1513739355788739,0.15167485373520273,0.019005724372166605,-0.001633736789458201,-0.09360622287120808,-0.14983565695111317,0.001633736789458201,0.09360622287120808,0.14983565695111317,1.3962634015954636,80.0,-7.999999953983784,7.999999953983784,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.01900000000000001,0.0015497865832468675,0.15139351842711773,0.15990733347204394,0.020161420279061024,-0.001786310185918381,-0.10234803455435265,-0.1552963366062006,0.001786310185918381,0.10234803455435265,0.1552963366062006,1.3962634015954636,80.0,-7.999999953983784,7.999999953983784,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.02000000000000001,0.0017138097240831582,0.1514142610682618,0.1681387800944847,0.02132507511942506,-0.0019443017368998077,-0.11140028362431438,-0.16067374875458848,0.0019443017368998077,0.11140028362431438,0.16067374875458848,1.3962634015954636,80.0,-7.999999953983784,7.999999953983784,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.02100000000000001,0.00188606381546712,0.1514361707789916,0.176369242401579,0.022495346332855885,-0.0021076333573878973,-0.1207584961393144,-0.16597809957775353,0.0021076333573878973,0.1207584961393144,0.16597809957775353,1.3962634015954636,80.0,-7.999999953983784,7.999999953983784,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.022000000000000013,0.0020665478959927684,0.15145925355736256,0.1845987656148213,0.023671017419844946,-0.002276236705602797,-0.13041875640380274,-0.17121868229019738,0.002276236705602797,0.13041875640380274,0.17121868229019738,1.3962634015954636,80.0,-7.999999953983784,7.999999953983784,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.023000000000000013,0.002255261047681862,0.15148351424361844,0.19282739137073723,0.024850987607252926,-0.002450052307709343,-0.14037765681803305,-0.176403951434351,0.002450052307709343,0.14037765681803305,0.176403951434351,1.3962634015954636,80.0,-7.999999953983784,7.999999953983784,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.024000000000000014,0.0024522023924140016,0.15150895663111316,0.20105515775760974,0.026034262376643996,-0.0026290287537384257,-0.15063225180775044,-0.18154159109833395,0.0026290287537384257,0.15063225180775044,0.18154159109833395,1.3962634015954636,80.0,-7.999999953983784,7.999999953983784,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.025000000000000015,0.002657371088411704,0.15153558356816055,0.20928209938731604,0.027219944779658802,-0.0028131219589049832,-0.16118001550083014,-0.18663857757432664,0.0028131219589049832,0.16118001550083014,0.18663857757432664,1.3962634015954636,80.0,-7.999999953983784,7.999999953983784,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
