time,x,z,x_dot,z_dot,raw_pitch_rad,raw_pitch_deg,raw_pitch_dot,pitch_rad,pitch_deg,pitch_dot,pitch_ref_rad,pitch_ref_deg,tau_cmd,ctrl_cmd,solve_success,omega_dot_raw,omega_dot_filtered,omega_dot_rls,rls_error,rls_skipped,a_g,a_tau,a_omega,a_v,a_0,a_g_nom,a_tau_nom
0.001,3.328551734975288e-06,0.1511995858353536,0.006659072389572188,-0.0007373105400029799,-2.7526878093039985e-06,-0.0001577173937902315,-0.0049050803481682495,2.7526878093039985e-06,0.0001577173937902315,0.0049050803481682495,1.3962634015954636,80.0,-3.545066414655738,3.545066414655738,1,0.0,0.0,0.0,0.0,1,27.669526383828885,-2.7652381907046517,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.002,1.2257903004858821e-05,0.15119776788045142,0.011277380784465243,-0.0028275097532420176,-4.310900456575627e-06,-0.00024699640206280306,0.0014936659447973531,4.310900456575627e-06,0.00024699640206280306,-0.0014936659447973531,1.3962634015954636,80.0,-3.545066414655738,3.545066414655738,1,0.0,0.0,0.0,0.0,1,27.669526383828885,-2.7652381907046517,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.003,2.7019949857881795e-05,0.1511948719770623,0.01824135513625457,-0.0029598203332045015,-4.780363369609766e-06,-0.0002738946456175764,-0.0023489298646675086,4.780363369609766e-06,0.0002738946456175764,0.0023489298646675086,1.3962634015954636,80.0,-3.545066414655738,3.545066414655738,1,0.0,0.0,0.0,0.0,1,27.669526383828885,-2.7652381907046517,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.004,4.8730565448260686e-05,0.15119185687142214,0.02517514302133767,-0.003066233889706357,-8.850355669248429e-06,-0.0005070880270376161,-0.005715859059428981,8.850355669248429e-06,0.0005070880270376161,0.005715859059428981,1.3962634015954636,80.0,-3.545066414655738,3.545066414655738,1,0.0,0.0,0.0,0.0,1,27.669526383828885,-2.7652381907046517,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.005,7.736135690335414e-05,0.15118874750758837,0.03208225614443572,-0.0031486490307824334,-1.606974623042547e-05,-0.0009207286368496435,-0.008655373643219121,1.606974623042547e-05,0.0009207286368496435,0.008655373643219121,1.3962634015954636,80.0,-3.545066414655738,3.545066414655738,1,0.0,0.0,0.0,0.0,1,27.669526383828885,-2.7652381907046517,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.006,0.00011288722639322808,0.1511855669554125,0.03896578203964701,-0.0032089134416722477,-2.6033283088942702e-05,-0.0014915972478657157,-0.011211059566622212,2.6033283088942702e-05,0.0014915972478657157,0.011211059566622212,1.3962634015954636,80.0,-3.545066414655738,3.545066414655738,1,0.0,0.0,0.0,0.0,1,27.669526383828885,-2.7652381907046517,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.007,0.0001552859732278057,0.1511823364672262,0.04582843549123514,-0.003248812898699552,-3.8377158004702396e-05,-0.0021988491833761508,-0.013422290131180716,3.8377158004702396e-05,0.0021988491833761508,0.013422290131180716,1.3962634015954636,80.0,-3.545066414655738,3.545066414655738,1,0.0,0.0,0.0,0.0,1,27.669526383828885,-2.7652381907046517,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.008,0.00020453794417637207,0.15117907554399557,0.05267260369384536,-0.0032700632238063174,-5.27750017459973e-05,-0.003023784863841196,-0.015324634785214904,5.27750017459973e-05,0.003023784863841196,0.015324634785214904,1.3962634015954636,80.0,-3.545066414655738,3.545066414655738,1,0.0,0.0,0.0,0.0,1,27.669526383828885,-2.7652381907046517,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.009000000000000001,0.0002606257261398298,0.151175802008273,0.05950038591734749,-0.0032743046535916387,-6.893426768625443e-05,-0.00394964260224743,-0.016950227641279608,6.893426768625443e-05,0.00394964260224743,0.016950227641279608,1.3962634015954636,80.0,-3.545066414655738,3.545066414655738,1,0.0,0.0,0.0,0.0,1,27.669526383828885,-2.7652381907046517,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
0.010000000000000002,0.00032353387602330477,0.15117253208176043,0.0663136283475828,-0.0032630981805660307,-8.659296543248667e-05,-0.004961411454803715,-0.018328099646906307,8.659296543248667e-05,0.004961411454803715,0.018328099646906307,1.3962634015954636,80.0,-3.545066414655738,3.545066414655738,1,0.0,0.0,0.0,0.0,1,27.669526383828885,-2.7652381907046517,0.0,0.0,0.0,27.669526383828885,-2.7652381907046517
