time,x,z,x_dot,z_dot,raw_pitch_rad,raw_pitch_deg,raw_pitch_dot,pitch_rad,pitch_deg,pitch_dot,pitch_ref_rad,pitch_ref_deg,tau_cmd,ctrl_cmd,solve_success
0.001,7.654720344116514e-06,0.15120277865269494,0.014013627629143799,0.004661709469842396,-2.3251678097316967e-05,-0.0013322230215730385,-0.03954588670073481,2.3251678097316967e-05,0.0013322230215730385,0.03954588670073481,1.3962634015954636,80.0,-9.734114185716935,9.734114185716935,1
0.002,2.6728092723753167e-05,0.1512084511574584,0.024132819545243503,0.006696446870218973,-7.193464441124884e-05,-0.004121551525538893,-0.05771859170337411,7.193464441124884e-05,0.004121551525538893,0.05771859170337411,1.3962634015954636,80.0,-9.734114185716935,9.734114185716935,1
0.003,5.591974388955065e-05,0.151216196530303,0.034250168895880624,0.008806192782171384,-0.0001384955426053146,-0.007935210072658804,-0.07531094245896755,0.0001384955426053146,0.007935210072658804,0.07531094245896755,1.3962634015954636,80.0,-9.734114185716935,9.734114185716935,1
0.004,9.522778956356788e-05,0.1512260861312898,0.0443655986922828,0.010983756035564977,-0.00022238082336484836,-0.012741482623450057,-0.09237580699030282,0.00022238082336484836,0.012741482623450057,0.09237580699030282,1.3962634015954636,80.0,-9.734114185716935,9.734114185716935,1
0.005,0.00014465028643521742,0.1512381844380946,0.054479066619547226,0.013222554911690377,-0.000323087636386189,-0.018511557977785996,-0.10896177006306268,0.000323087636386189,0.018511557977785996,0.10896177006306268,1.3962634015954636,80.0,-9.734114185716935,9.734114185716935,1
0.006,0.0002041852633263699,0.15125254963157708,0.06459055821002525,0.015516569844796184,-0.0004401597086378929,-0.02521929361665927,-0.12511345344127986,0.0004401597086378929,0.02521929361665927,0.12511345344127986,1.3962634015954636,80.0,-9.734114185716935,9.734114185716935,1
0.007,0.0002738307460742128,0.1512692341354648,0.0747000810790259,0.01786029896252054,-0.0005731835343392413,-0.03284099740403042,-0.14087181890044487,0.0005731835343392413,0.03284099740403042,0.14087181890044487,1.3962634015954636,80.0,-9.734114185716935,9.734114185716935,1
0.008,0.0003535847771184799,0.151288285113016,0.08480766007476936,0.020248716503982814,-0.0007217848590094057,-0.041355226137684116,-0.15627445327656608,0.0007217848590094057,0.041355226137684116,0.15627445327656608,1.3962634015954636,80.0,-9.734114185716935,9.734114185716935,1
0.009000000000000001,0.0004434454306412258,0.1513097449235335,0.09491333321341353,0.022677234097297803,-0.0008856254394608487,-0.050742599910525425,-0.17135583529565193,0.0008856254394608487,0.050742599910525425,0.17135583529565193,1.3962634015954636,80.0,-9.734114185716935,9.734114185716935,1
0.010000000000000002,0.0005434108239867065,0.15133365154156134,0.10501714828676546,0.025141664834139602,-0.001064400061546344,-0.06098563124007058,-0.18614758429542308,0.001064400061546344,0.06098563124007058,0.18614758429542308,1.3962634015954636,80.0,-9.734114185716935,9.734114185716935,1
0.011000000000000003,0.0006534791259841191,0.15136003894151603,0.11511916004513888,0.02763819004588009,-0.001257833797728466,-0.07206856793875319,-0.20067869123327517,0.001257833797728466,0.07206856793875319,0.20067869123327517,1.3962634015954636,80.0,-9.734114185716935,9.734114185716935,1
0.012000000000000004,0.0007736485627050917,0.15138893745039553,0.12521942787089452,0.0301633286620163,-0.001465679487044985,-0.08397724872657705,-0.21497573258464783,0.001465679487044985,0.08397724872657705,0.21497573258464783,1.3962634015954636,80.0,-9.734114185716935,9.734114185716935,1
0.013000000000000005,0.0009039174211092176,0.151420374071082,0.13531801386967432,0.03271390901548111,-0.0016877154207273488,-0.09669897062682314,-0.22906306788604788,0.0016877154207273488,0.09669897062682314,0.22906306788604788,1.3962634015954636,80.0,-9.734114185716935,9.734114185716935,1
0.014000000000000005,0.0010442840509630679,0.15145437277861298,0.1454149813163755,0.03528704294956791,-0.0019237432175378088,-0.11022236723183386,-0.24296302177783524,0.0019237432175378088,0.11022236723183386,0.24296302177783524,1.3962634015954636,80.0,-9.734114185716935,9.734114185716935,1
0.015000000000000006,0.0011947468653596399,0.15149095479164798,0.15551039340166242,0.03788010207634357,-0.0021735858737793527,-0.12453729697681218,-0.2566960514629462,0.0021735858737793527,0.12453729697681218,0.2566960514629462,1.3962634015954636,80.0,-9.734114185716935,9.734114185716935,1
0.016000000000000007,0.001355304340114894,0.151530138821206,0.16560431223242936,0.04049069603549588,-0.002437085973865844,-0.13963474061304293,-0.2702809005271939,0.002437085973865844,0.13963474061304293,0.2702809005271939,1.3962634015954636,80.0,-9.734114185716935,9.734114185716935,1
0.017000000000000008,0.0015259550122748294,0.1515719412986001,0.17569679804623703,0.043116652604651,-0.0027141040482896173,-0.15550670712636605,-0.2837347400715871,0.0027141040482896173,0.15550670712636605,0.2837347400715871,1.3962634015954636,80.0,-9.734114185716935,9.734114185716935,1
0.01800000000000001,0.0017066974779294994,0.15161637658434743,0.18578790860547267,0.04575599951654184,-0.0030045170667685533,-0.17214614740086387,-0.29707329809307714,0.0030045170667685533,0.17214614740086387,0.29707329809307714,1.3962634015954636,80.0,-9.734114185716935,9.734114185716935,1
0.01900000000000001,0.001897530389498661,0.15166345715969187,0.19587769874193584,0.04840694784438444,-0.0033082170552780456,-0.1895468749806294,-0.31031097802209023,0.0033082170552780456,0.1895468749806294,0.31031097802209023,1.3962634015954636,80.0,-9.734114185716935,9.734114185716935,1
0.02000000000000001,0.0020984524526266395,0.15171319380224102,0.20596622002682813,0.05106787682391422,-0.0036251098265632645,-0.2077034933334769,-0.32346096728710494,0.0036251098265632645,0.2077034933334769,0.32346096728710494,1.3962634015954636,80.0,-9.734114185716935,9.734114185716935,1
