time,x,z,x_dot,z_dot,raw_pitch_rad,raw_pitch_deg,raw_pitch_dot,pitch_rad,pitch_deg,pitch_dot,pitch_ref_cmd_rad,pitch_ref_cmd_deg,pitch_ref_target_rad,pitch_ref_target_deg,tau_cmd,ctrl_cmd
0.001,-5.9030256906882345e-06,0.15120140276017635,-0.01078523650468951,0.002121626826284395,1.465991733348169e-05,0.0008399513912191807,0.023847513002974198,-1.465991733348169e-05,-0.0008399513912191807,-0.023847513002974198,0.10471975511965977,6.0,1.3962634015954636,80.0,7.5,-7.5
0.002,-2.0546873052049105e-05,0.15120357921275185,-0.01850217023706546,0.002242542106089489,4.205547883444628e-05,0.0024096014426155344,0.030857695480593195,-4.205547883444628e-05,-0.0024096014426155344,-0.030857695480593195,0.10471975511965977,6.0,1.3962634015954636,80.0,7.5,-7.5
0.003,-4.2906780406367186e-05,0.15120590924276453,-0.02621734964743491,0.002427700898405771,7.621153920735226e-05,0.004366599546777084,0.03737623361646213,-7.621153920735226e-05,-0.004366599546777084,-0.03737623361646213,0.10471975511965977,6.0,1.3962634015954636,80.0,7.5,-7.5
0.004,-7.298097814397646e-05,0.15120845394486357,-0.033930748818938615,0.002670895311197366,0.00011665896969898259,0.006684066606096258,0.04344753040565663,-0.00011665896969898259,-0.006684066606096258,-0.04344753040565663,0.10471975511965977,6.0,1.3962634015954636,80.0,7.5,-7.5
0.005,-0.00011076768367053139,0.15121126846815666,-0.04164236674520838,0.002966435254611813,0.00016297120811924686,0.00933756240738102,0.04911236253245622,-0.00016297120811924686,-0.00933756240738102,-0.04911236253245622,0.10471975511965977,6.0,1.3962634015954636,80.0,7.5,-7.5
0.006,-0.00015626512361911358,0.15121440251375284,-0.049352222084465214,0.0033091083501126436,0.00021476076953527685,0.01230488569935311,0.05440815175773629,-0.00021476076953527685,-0.01230488569935311,-0.05440815175773629,0.10471975511965977,6.0,1.3962634015954636,80.0,7.5,-7.5
0.007,-0.00020947155124614327,0.15121790079349712,-0.05706034875173748,0.003694142402577369,0.00027167602042908344,0.015565889365496414,0.05936922041765742,-0.00027167602042908344,-0.015565889365496414,-0.05936922041765742,0.10471975511965977,6.0,1.3962634015954636,80.0,7.5,-7.5
0.008,-0.0002703852597882995,0.15122180345244535,-0.0647667922301382,0.0041171703995826455,0.0003333982003607122,0.01910230977792581,0.06402703094455782,-0.0003333982003607122,-0.01910230977792581,-0.06402703094455782,0.10471975511965977,6.0,1.3962634015954636,80.0,7.5,-7.5
0.009000000000000001,-0.00033900459244656247,0.15122614645757526,-0.0724716064977587,0.004574197971404769,0.000399638675227343,0.02289760942072616,0.06841040958552846,-0.000399638675227343,-0.02289760942072616,-0.06841040958552846,0.10471975511965977,6.0,1.3962634015954636,80.0,7.5,-7.5
0.010000000000000002,-0.0004153279495670797,0.1512309619551513,-0.08017485148050059,0.005061573222128051,0.0004701364064914181,0.026936831887405137,0.0725457546992457,-0.0004701364064914181,-0.026936831887405137,-0.0725457546992457,0.10471975511965977,6.0,1.3962634015954636,80.0,7.5,-7.5
