time,x,z,x_dot,z_dot,pitch_deg,pitch_dot,goal_x,dist_to_goal,tau_cmd,ctrl_cmd,solve_success,gp_v,gp_omega,gp_std,gp_v_std,gp_w_std,r_v,r_omega,gp_active_points,rls_err_v,rls_err_omega,a_g,a_tau,a_omega,a_v,a_0,b_tau,b_v,b_sin,b_0
1.3999999999999566,1.5469699978942661,0.15101629171466896,1.1801756654850375,-1.934684095191823e-09,0.00023725912750174785,-1.8186225055361094e-06,8.0,6.453030002105734,-0.12114110293005437,0.12114110293005437,1,0.0,0.0,1.0,1.0,1.0,-0.40881509005961525,-0.6877806008241009,0,-0.3924765139103741,-0.6607397773987734,-1.2591887729036297,-5.15140728254646,-9.151244808134608,22.794812534512978,-25.587121121172736,-0.8387634514742035,-1.2831889567406376,6.853839238126982,1.823275749066562
1.449999999999951,1.6060017706143872,0.15101629155528104,1.1810938439140226,-1.6374294869303166e-09,0.00022853511428975822,-1.4650954753583955e-06,8.0,6.393998229385613,-0.12040306499535751,0.12040306499535751,1,0.0,0.0,1.0,1.0,1.0,-0.3921609105572794,-0.679629890428708,0,-0.37705199006311596,-0.653855788781546,-1.2577485116390552,-5.150502510934473,-9.150946035129179,22.766785694263117,-25.581149283666807,-0.8381567232956799,-1.2998926650656384,6.838979326371808,1.8279536999158452
1.4999999999999456,1.6650774980225485,0.15101629140228587,1.1819339706975172,-1.5903333062786566e-09,0.00022030200721882267,-1.404709914745646e-06,8.0,6.334922501977451,-0.11981786445684767,0.11981786445684767,1,0.0,0.0,1.0,1.0,1.0,-0.3767998567890243,-0.6709611217893633,0,-0.3627879036032111,-0.6463874242981712,-1.2561873817706604,-5.149624351860082,-9.15068009317721,22.739767083625416,-25.57526686289734,-0.8375874613400531,-1.3155193918480095,6.825202354896997,1.8324669733695307
1.54999999999994,1.7241936568035405,0.15101629127580013,1.1827111975524698,-1.2503828189033383e-09,0.00021345643017414088,-1.1629025495373579e-06,8.0,6.275806343196459,-0.11924268870674172,0.11924268870674172,1,0.0,0.0,1.0,1.0,1.0,-0.36244956171906106,-0.6624739677259732,0,-0.34942522221704175,-0.639016004304868,-1.254526382541311,-5.148771857927829,-9.150443498781536,22.713704936401406,-25.569479944059637,-0.8370524409639609,-1.3301650869467516,6.812399534655774,1.8368170326548816
1.5999999999999346,1.7833471401235483,0.15101629116095908,1.1834270449611362,-1.1226179818524427e-09,0.00020698281395873196,-1.114256682643535e-06,8.0,6.216652859876452,-0.1187746798227337,0.1187746798227337,1,0.0,0.0,1.0,1.0,1.0,-0.3491367049191534,-0.6537099076261653,0,-0.33700011268962515,-0.6313064841443284,-1.2527845386792102,-5.147944775310053,-9.150233235213134,22.688568033869366,-25.563796891507494,-0.8365486679590588,-1.3439197554522506,6.800472033938075,1.8410083565691449
1.649999999999929,1.8425351464627582,0.15101629106452966,1.184092197527098,-9.821139229583301e-10,0.00020149151111591756,-9.427358815222664e-07,8.0,6.157464853537242,-0.1183168942479119,0.1183168942479119,1,0.0,0.0,1.0,1.0,1.0,-0.33665968750323905,-0.6451358502682644,0,-0.3253271034012075,-0.623715867921799,-1.2509771489109098,-5.1471421400446244,-9.15004659126514,22.664309312784397,-25.55822050405949,-0.8360735756390546,-1.356859065012107,6.789336742794582,1.8450449705081573
1.6999999999999236,1.901755176880316,0.15101629096986413,1.1847080824265073,-1.0224707042364124e-09,0.00019629376983913035,-9.01776833633557e-07,8.0,6.098244823119684,-0.11793631850269035,0.11793631850269035,1,0.0,0.0,1.0,1.0,1.0,-0.3250265453221377,-0.6364358458049928,0,-0.314421502066613,-0.6159445708469313,-1.249118176543061,-5.146363469453727,-9.149881182230443,22.640896088132955,-25.552755204714778,-0.8356247867985989,-1.3690536542903222,6.778918091158069,1.8489325812099617
1.749999999999918,1.9610049617988046,0.15101629088556287,1.1852824419663184,-8.846761403448166e-10,0.00019181400644192341,-7.757583241112096e-07,8.0,6.038995038201195,-0.11756575572397768,0.11756575572397768,1,0.0,0.0,1.0,1.0,1.0,-0.3140901962926068,-0.6279280997840905,0,-0.30414763353462293,-0.608305591180398,-1.2472188471718142,-5.1456078277307515,-9.149734878099713,22.618286105219727,-25.547401695454035,-0.8352002395908659,-1.3805638127814437,6.769151631358146,1.8526762992407537
1.7999999999999126,2.020282458113238,0.15101629080858534,1.1858165989539502,-7.538932675701615e-10,0.00018757370119430546,-7.409434650181682e-07,8.0,5.979717541886762,-0.11725192753575303,0.11725192753575303,1,0.0,0.0,1.0,1.0,1.0,-0.3038487212033625,-0.6193905198810226,0,-0.2945091801966899,-0.6005885423967923,-1.2452894522917073,-5.144874620888734,-9.149605784213104,22.59644741939106,-25.542161856833392,-0.8347980261080505,-1.391445673668518,6.7599786707814795,1.8562821541206285
1.849999999999907,2.079585799018648,0.15101629074503672,1.1863162790297936,-6.140728887378805e-10,0.00018386720503574873,-6.474424976291503e-07,8.0,5.920414200981352,-0.11694762504547994,0.11694762504547994,1,0.0,0.0,1.0,1.0,1.0,-0.294192984563203,-0.6110424937358894,0,-0.28540523531671047,-0.5930102952818062,-1.243338268903364,-5.144162964834699,-9.149492212704406,22.575342359232206,-25.53703506488929,-0.8344164743756838,-1.4017477716395763,6.7513485427965385,1.8597555695814705
