time,x,z,x_dot,z_dot,pitch_deg,pitch_dot,goal_x,dist_to_goal,tau_cmd,ctrl_cmd,solve_success,gp_v,gp_omega,gp_std,gp_active_points,rls_err_v,rls_err_omega,a_g,a_tau,a_omega,a_v,a_0,b_tau,b_v,b_sin,b_0
0.001,-2.0891872556265235e-06,0.15119944203019028,-0.0041810161643532455,-0.0009952979316698394,-7.098380758809162e-05,-0.0022041454043132563,5.0,5.000002089187255,2.2115343618880767,-2.2115343618880767,1,0.0,0.0,2.0,0,0.0,0.0,27.669526383828885,-2.7652381907046517,0.0,0.0,0.0,2.306805074971165,-9.0,0.0,0.0
0.002,-8.36494886351485e-06,0.15119815086697208,-0.008370614646933018,-0.0015741513874455177,-0.00023423363741521976,-0.0034656867308149298,5.0,5.000008364948863,2.2115343618880767,-2.2115343618880767,1,0.0,0.0,2.0,0,0.0,0.0,27.669526383828885,-2.7652381907046517,0.0,0.0,0.0,2.306805074971165,-9.0,0.0,0.0
0.003,-1.883059606890739e-05,0.15119631826225355,-0.012560754483713361,-0.0020793500223168075,-0.0004649971509697497,-0.004563479868352126,5.0,5.000018830596069,2.2115343618880767,-2.2115343618880767,1,0.0,0.0,2.0,0,0.0,0.0,27.669526383828885,-2.7652381907046517,0.0,0.0,0.0,2.306805074971165,-9.0,0.0,0.0
0.004,-3.3486576763314284e-05,0.15119401446068603,-0.01675125352412315,-0.0025176207677244412,-0.0007543368042900283,-0.005512822637315676,5.0,5.000033486576763,2.2115343618880767,-2.2115343618880767,1,0.0,0.0,2.0,0,0.0,0.0,27.669526383828885,-2.7652381907046517,0.0,0.0,0.0,2.306805074971165,-9.0,0.0,0.0
0.005,-5.233317030014978e-05,0.1511913032530831,-0.02094195618190734,-0.0028951512473874763,-0.0010941548255740475,-0.0063277474193450724,5.0,5.0000523331703,2.2115343618880767,-2.2115343618880767,1,0.0,0.0,2.0,0,0.0,0.0,27.669526383828885,-2.7652381907046517,0.0,0.0,0.0,2.306805074971165,-9.0,0.0,0.0
0.006,-7.537051217160357e-05,0.15118824249555252,-0.025132729748108876,-0.003217629679221778,-0.0014771235068141175,-0.007021117706073549,5.0,5.000075370512172,2.2115343618880767,-2.2115343618880767,1,0.0,0.0,2.0,0,0.0,0.0,27.669526383828885,-2.7652381907046517,0.0,0.0,0.0,2.306805074971165,-9.0,0.0,0.0
0.007,-0.00010259861524988722,0.15118488459005508,-0.029323461195447455,-0.0034902821394761792,-0.00189662084833315,-0.007604718424527457,5.0,5.00010259861525,2.2115343618880767,-2.2115343618880767,1,0.0,0.0,2.0,0,0.0,0.0,27.669526383828885,-2.7652381907046517,0.0,0.0,0.0,2.306805074971165,-9.0,0.0,0.0
0.008,-0.00013401738805163277,0.1511812769289678,-0.03351405441030137,-0.00371790731049039,-0.0023466712041030264,-0.008089340203564442,5.0,5.000134017388052,2.2115343618880767,-2.2115343618880767,1,0.0,0.0,2.0,0,0.0,0.0,27.669526383828885,-2.7652381907046517,0.0,0.0,0.0,2.306805074971165,-9.0,0.0,0.0
0.009000000000000001,-0.00016962665042457217,0.15117746230610543,-0.03770442779660988,-0.003904908837658397,-0.0028218905865570625,-0.008484857792898716,5.0,5.0001696266504245,2.2115343618880767,-2.2115343618880767,1,0.0,0.0,2.0,0,0.0,0.0,27.669526383828885,-2.7652381907046517,0.0,0.0,0.0,2.306805074971165,-9.0,0.0,0.0
0.010000000000000002,-0.00020942614700357527,0.15117347929652708,-0.041894512203120036,-0.004055325423258602,-0.0033174363027866616,-0.008800302881268072,5.0,5.000209426147004,2.2115343618880767,-2.2115343618880767,1,0.0,0.0,2.0,0,0.0,0.0,27.669526383828885,-2.7652381907046517,0.0,0.0,0.0,2.306805074971165,-9.0,0.0,0.0
