episode,x,gp_v_pred,gp_v_std,gp_w_pred,gp_w_std
0,0.0,0.06748417640888968,75.61823276719315,-4.297485373732806,75.61823276719315
0,0.046218487394957986,0.012603783238969157,75.61868976319145,-4.217503811260661,75.61868976319145
0,0.09243697478991597,-0.04647135082726095,75.6562986522752,-4.119268452431336,75.6562986522752
0,0.13865546218487396,-0.10968723854980844,75.72961359013772,-4.003897127102857,75.72961359013772
0,0.18487394957983194,-0.17696966872629716,75.83646530875369,-3.87271681919316,75.83646530875369
0,0.23109243697478993,-0.2482207538518999,75.97405612927483,-3.727238155100464,75.97405612927483
0,0.2773109243697479,-0.32331472365410896,76.13907373244206,-3.569126374980149,76.13907373244206
0,0.3235294117647059,-0.4020931056160606,76.32781702816848,-3.4001695610974565,76.32781702816848
0,0.3697478991596639,-0.4843594899351693,76.5363273611193,-3.222244965377893,76.5363273611193
0,0.41596638655462187,-0.5698741278351172,76.76051867567796,-3.0372843157187734,76.76051867567796
0,0.46218487394957986,-0.6583486529187912,76.9963010373536,-2.8472389913408414,76.9963010373536
0,0.5084033613445378,-0.7494412451314822,77.23969294341894,-2.6540459368391645,77.23969294341894
0,0.5546218487394958,-0.8427525714650503,77.48691902252747,-2.4595951387822907,77.48691902252747
0,0.6008403361344539,-0.937822835972014,77.73449090607818,-2.2656994153858285,77.73449090607818
0,0.6470588235294118,-1.0341302533917442,77.97927015799551,-2.074067177933971,77.97927015799551
0,0.6932773109243697,-1.1310912243423967,78.21851311582324,-1.8862787092043156,78.21851311582324
0,0.7394957983193278,-1.228062438065976,78.44989828483139,-1.7037663813994666,78.44989828483139
0,0.7857142857142858,-1.3243450620438102,78.67153753203392,-1.527799102716422,78.67153753203392
0,0.8319327731092437,-1.4191910988761363,78.88197275633509,-1.3594711459507796,78.88197275633509
0,0.8781512605042017,-1.5118119039130669,79.08015998428662,-1.199695379478806,79.08015998428662
0,0.9243697478991597,-1.6013887653526897,79.26544298717782,-1.0492007930137524,79.26544298717782
0,0.9705882352941178,-1.6870853560264738,79.43751856120103,-0.908534094183115,79.43751856120103
0,1.0168067226890756,-1.7680617789602255,79.59639558365059,-0.7780650502621669,79.59639558365059
0,1.0630252100840336,-1.84348984844316,79.74234987738268,-0.6579951628451118,79.74234987738268
0,1.1092436974789917,-1.9125691820907156,79.87587679576848,-0.5483691984502936,79.87587679576848
0,1.1554621848739497,-1.9745436277235306,79.99764329391958,-0.4490890504962457,79.99764329391958
0,1.2016806722689077,-2.0287175170322405,80.10844108201948,-0.35992938343599157,80.10844108201948
0,1.2478991596638656,-2.0744712255206172,80.20914226759727,-0.28055450298442164,80.20914226759727
0,1.2941176470588236,-2.1112755280177353,80.30065868448928,-0.21053590970025127,80.30065868448928
0,1.3403361344537816,-2.1387042692935267,80.38390587916975,-0.14937002215809514,80.38390587916975
0,1.3865546218487395,-2.156444919876254,80.45977248151037,-0.09649559960832299,80.45977248151037
0,1.4327731092436975,-2.164306655128554,80.52909543135475,-0.05131044919709993,80.52909543135475
0,1.4789915966386555,-2.162225678602182,80.59264127140325,-0.013187066262085878,80.59264127140325
0,1.5252100840336136,-2.150267604479808,80.65109345996864,0.018513074711469457,80.65109345996864
0,1.5714285714285716,-2.1286268146772898,80.70504541489468,0.04442678961550861,80.70504541489468
0,1.6176470588235294,-2.097622809239496,80.75499878386358,0.06517815508893854,80.75499878386358
0,1.6638655462184875,-2.0576936699109645,80.80136625695367,0.08136925218245317,80.80136625695367
0,1.7100840336134455,-2.009386851575595,80.84447810376209,0.0935726934241039,80.84447810376209
0,1.7563025210084033,-1.9533476010892592,80.88459153542718,0.10232588771538431,80.88459153542718
0,1.8025210084033614,-1.8903053743506675,80.92190196397547,0.10812695033373743,80.92190196397547
0,1.8487394957983194,-1.8210586779691056,80.95655525599265,0.11143212736232755,80.95655525599265
0,1.8949579831932775,-1.746458799683758,80.98866014948696,0.11265457503611032,80.98866014948696
0,1.9411764705882355,-1.6673929109788368,81.01830011364362,0.11216431550943184,81.01830011364362
0,1.9873949579831933,-1.5847670261272384,81.04554407032626,0.11028918017214906,81.04554407032626
