episode,time_to_goal_sec,retrain_started,cost
0,120.050783545,1,51.46913423545771
0,120.02194339600001,1,54.52242468995384
1,120.03761665,0,48.831915562059365
0,3.3590805940000004,1,68.8527969121933
1,7.422407461000001,0,59.47078912258148
0,0.19005876300000002,1,425.3126691182454
1,120.08236165800001,0,51.92558561835702
2,120.07427773500001,0,52.159734448323654
3,120.066285238,0,50.67710558635252
4,120.067060827,0,52.210135850241016
5,120.026831435,0,54.26831459479977
6,120.070660505,0,53.03176421431075
7,120.060795686,0,52.8446087397005
8,120.00306211,0,52.42635536895622
9,120.00442796200001,0,52.76154290263948
10,120.02402389800001,1,52.33520759537286
11,120.02879639000001,0,32.564724281630184
12,120.005467503,0,35.12360684231261
13,120.030351925,0,36.03911912653783
0,120.118631475,1,56.53458883708128
1,120.014331666,0,58.637515721228084
0,120.01523176200001,1,36.406651007793286
0,120.082509055,1,43.522517516913005
0,120.043089577,1,53.38155061735269
0,120.006219696,1,54.82467929181312
1,120.01023324500001,0,53.09208559353142
2,120.027009124,0,53.206789944553485
3,120.011903445,0,53.957721952431406
4,120.031229135,0,54.266118722623396
5,120.01637198,0,54.19541809126552
6,120.000890443,0,53.747285368494644
0,120.021380307,1,48.0847473435305
1,120.01922036600001,0,48.23228689139384
2,120.001387338,0,48.86385652920024
3,120.00116245100001,0,48.237867169252254
4,120.00088873300001,0,49.38748999202953
5,120.02032021100001,0,48.451181593278136
6,120.01999712300001,0,48.70137398642566
7,120.000316802,0,48.81861578959303
8,120.00091740900001,0,48.59853863203611
9,120.019740854,0,48.7947310409082
10,120.02221857500001,1,48.04822197009714
11,120.02021944900001,0,48.79238877928841
12,120.020064695,0,49.498746293896396
13,120.000771196,0,47.67526128478416
0,120.019136966,1,47.925115630254076
0,120.016773799,1,47.69747580408613
1,105.985824764,1,48.32207004812528
2,93.500273394,1,47.78288908821584
3,51.287792594,1,48.791055759351856
4,120.030890114,1,48.84348180209824
5,120.02952968500001,1,48.99932388717514
6,67.573835727,1,47.1791703864716
7,120.037001781,1,48.64280601117421
8,102.057841214,1,49.17765074446228
9,120.04054093500001,1,48.47994284850683
0,120.015001596,1,497.8552861987492
1,120.025178224,1,485.4860113919953
2,0.726277414,1,327.31865802971095
3,0.8609481210000001,1,331.7906427234411
4,0.766425313,1,315.69187747515167
5,120.00859662500001,1,482.4909090112992
6,120.011370106,1,484.0146786804657
7,120.032946128,1,484.7377014007619
0,120.01792023700001,1,492.9595250628941
1,120.006621573,1,491.4116786504821
2,5.546003024,1,223.74669672720296
3,0.9208737680000001,1,319.4909074534761
0,30.015699575000003,1,500.09996786511215
1,30.018622542000003,0,499.4340511276306
2,30.000277628000003,0,491.5210457839305
3,30.000437418,0,500.0999782696952
4,30.000891703,0,492.45542203228445
5,30.00460722,1,500.0998915558573
6,30.020112647,0,493.6906199652091
7,30.019768473000003,0,489.0645131645761
8,30.000338182,0,500.09990786171846
9,30.019312056,0,500.0999737776389
10,30.011050760000003,1,500.0999792659386
11,30.0194647,0,491.945621495558
12,30.019568779000004,0,492.06369079508573
13,30.000729299000003,0,488.56964027968985
14,30.000665206,0,488.35145787411255
15,30.009488211,1,489.8701019795397
16,30.018213659,0,494.3697714773856
17,30.020413195000003,0,500.0999550241605
0,8.081851756,1,418.64124879638354
1,1.539648165,0,390.18666951014444
2,11.520598033,0,419.7966628952704
3,1.100739039,0,373.02016297727823
