episode,time_to_goal_sec,retrain_started,cost,success
0,21.406344168935902,1,124.75933376312256,0
1,3.8793577200267464,1,387.66135782665674,1
2,21.68892214994412,1,161.39996627807616,0
3,21.769762292969972,1,132.16584892272948,0
4,21.70463757100515,1,138.06485160827637,0
5,21.56402247492224,1,133.44430034637452,0
6,21.680129115004092,1,135.22234691619872,0
7,2.9878314930247143,1,270.48282255949795,0
8,1.7298431730596349,1,390.5617837905884,0
